name,link,networks
bitcoin/#market,https://coinmarketcap.com//currencies/bitcoin/#markets,"{'blockchain': 'https://blockchain.info/', 'live': 'https://live.blockcypher.com/btc/', 'blockchair': 'https://blockchair.com/bitcoin', 'explorer': 'https://explorer.viabtc.com/btc', 'www': 'https://www.oklink.com/btc'}"
ethereum/#market,https://coinmarketcap.com//currencies/ethereum/#markets,"{'etherscan': 'https://etherscan.io/', 'www': 'https://www.oklink.com/eth', 'blockchair': 'https://blockchair.com/ethereum', 'bscscan': 'https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8', 'nearblocks': 'https://nearblocks.io/token/aurora'}"
tether/#market,https://coinmarketcap.com//currencies/tether/#markets,"{'www': 'https://www.omniexplorer.info/asset/31', 'etherscan': 'https://etherscan.io/token/0xdac17f958d2ee523a2206206994597c13d831ec7', 'algoexplorer': 'https://algoexplorer.io/asset/312769', 'tronscan': 'https://tronscan.org/#/token20/TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t', 'bscscan': 'https://bscscan.com/token/0x55d398326f99059ff775485246999027b3197955', 'source_code"":': 'source_code"":'}"
xrp/#market,https://coinmarketcap.com//currencies/xrp/#markets,"{'livenet': 'https://livenet.xrpl.org/', 'bithomp': 'https://bithomp.com/explorer/', 'xrpscan': 'https://xrpscan.com/', 'blockchair': 'https://blockchair.com/ripple', 'bscscan': 'https://bscscan.com/token/0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe'}"
bnb/#market,https://coinmarketcap.com//currencies/bnb/#markets,"{'explorer': 'https://explorer.bnbchain.org/', 'bsctrace': 'https://bsctrace.com/', 'bscscan': 'https://bscscan.com/token/0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', 'www': 'https://www.oklink.com/bsc'}"
solana/#market,https://coinmarketcap.com//currencies/solana/#markets,"{'explorer': 'https://explorer.solana.com', 'solana': 'https://solana.fm/', 'solscan': 'https://solscan.io/', 'solanabeach': 'https://solanabeach.io', 'www': 'https://www.oklink.com/sol'}"
usd coin/#market,https://coinmarketcap.com//currencies/usd-coin/#markets,"{'etherscan': 'https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'explorer': 'https://explorer.solana.com/address/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v', 'tronscan': 'https://tronscan.org/#/token20/TEkxiTehnzSmSe2XqrBj4w32RUN966rdz8', 'bscscan': 'https://bscscan.com/token/0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d', 'ftmscan': 'https://ftmscan.com/token/0x04068DA6C83AFCFA0e13ba15A6696662335D5B75'}"
cardano/#market,https://coinmarketcap.com//currencies/cardano/#markets,"{'explorer': 'https://explorer.cardano.org', 'cardanoscan': 'https://cardanoscan.io/', 'blockchair': 'https://blockchair.com/cardano', 'bscscan': 'https://bscscan.com/token/0x3ee2200efb3400fabb9aacf31297cbdd1d435d47', 'cardanoupdates': 'https://cardanoupdates.com/'}"
dogecoin/#market,https://coinmarketcap.com//currencies/dogecoin/#markets,"{'blockchair': 'https://blockchair.com/dogecoin', 'dogechain': 'http://dogechain.info/chain/Dogecoin', 'explorer': 'https://explorer.viabtc.com/doge', 'bscscan': 'https://bscscan.com/token/0xba2ae424d960c26247dd6c32edc70b295c744c43'}"
avalanche/#market,https://coinmarketcap.com//currencies/avalanche/#markets,"{'snowtrace': 'https://snowtrace.io/', 'avascan': 'https://avascan.info/blockchain/x/asset/FvwEAhmxKfeiG8SnEvq42hc6whRyY3EFYAvebMqDNDGCgxN5Z', 'explorer': 'https://explorer.avax.network/'}"
